,ID,drugName,condition,patientreview,rating,reviewdate,Useful,Manual_Sentiment,review_cleaned,reviewchars,reviewchars_clean,reviewwords,reviewwords_clean,reviewsentence,reviewsentence_clean,emotions,NRCsent
78263,157017,Movantik,"Constipation, Drug Induced","""Taking it for three months  and no bowel movements.  I  have  one movement  a month. I  really  need to poop . All this medicine does is make me felt sick.I take as it says and nothing happens  .In between  I take Mira lax still nothing.
  I  get nausea vomiting  alot of the time.Cramps  I  am so tired of being  full of bowel. .""",1.0,2016-03-20,21,-1.0,take month bowel movement movement month need poop medicine feel sicki say happen mira lax nausea vomiting alot timecramp tired bowel,334,133,69,21,6,1,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.5714285714285714, 'sadness': 0.14285714285714285, 'disgust': 0.14285714285714285, 'joy': 0.0, 'anticipation': 0.14285714285714285}",negative
78267,24716,Lactase,Lactose Intolerance,"""After not having many issues with any dairy other than ice cream, I decided to try lactaid in order to be able to enjoy the delicious treat of vanilla ice cream once more...but I regret everything now. Not only did it not do Jack squat, but my symptoms of lactose intolerance are even worse now. Usually I can get away with just a little bit of gas and I&#039;m fine but now I have nausea, diarrhea, gas, and bloating. Worst decision ever!!! This product deserves negative stars!!!""",1.0,2017-02-06,8,-1.0,have issue dairy ice cream decide try lactaid order able enjoy delicious treat vanilla ice cream morebut regret jack squat symptom lactose intolerance bad usually away little bit gas m fine nausea diarrhea gas bloat bad decision product deserve negative star,483,258,110,41,5,1,"{'fear': 0.07547169811320754, 'anger': 0.09433962264150944, 'anticip': 0.0, 'trust': 0.07547169811320754, 'surprise': 0.05660377358490566, 'positive': 0.1320754716981132, 'negative': 0.1509433962264151, 'sadness': 0.09433962264150944, 'disgust': 0.09433962264150944, 'joy': 0.11320754716981132, 'anticipation': 0.11320754716981132}",negative
78373,6656,Propecia,Androgenetic Alopecia,"""Don&#039;t take this drug.  I used it for a few months and it killed my libido.  I did get some noticeable hair re-growth during that time, so at least that worked.  It became very hard to get an erection and I became completely disinterested in sex.

I&#039;ve read accounts that some people never regained their libido, and suffered lasting erectile dysfunction.

This is not natural.  Your libido is part of who you are, and so is hair loss.  Be a man and accept the loss of your hair as part of who you were meant to be.""",1.0,2016-08-31,31,-1.0,not drug month kill libido noticeable hair regrowth time work hard erection completely disintereste sex ve read account people regain libido suffer last erectile dysfunction natural libido hair loss man accept loss hair mean,534,224,120,34,8,1,"{'fear': 0.15789473684210525, 'anger': 0.10526315789473684, 'anticip': 0.0, 'trust': 0.10526315789473684, 'surprise': 0.0, 'positive': 0.10526315789473684, 'negative': 0.21052631578947367, 'sadness': 0.15789473684210525, 'disgust': 0.0, 'joy': 0.05263157894736842, 'anticipation': 0.10526315789473684}",negative
78397,25457,Finasteride,Androgenetic Alopecia,"""I&#039;ve been on it from 29 till now (42).  I&#039;ve experienced 0 negative side effects.  My doc monitors my liver functions annually.  Family noticed improvement.  I believe over time I mainly have maintained the hair I had and haven&#039;t gotten much balder, unlike other men on both sides of my family who are either completely bald or much thinner.  It is much cheaper to buy the 5mg pill and cut it in 4ths.""",7.0,2017-06-17,5,1.0,ve till ve experience negative effect doc monitor liver function annually family notice improvement believe time mainly maintain hair not get balder unlike man side family completely bald thin cheap buy mg pill cut th,418,217,99,35,6,1,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.2, 'surprise': 0.0, 'positive': 0.3, 'negative': 0.2, 'sadness': 0.1, 'disgust': 0.0, 'joy': 0.1, 'anticipation': 0.1}",positive
78411,223834,Ciprodex,Otitis Externa,"""I used it one time. And I feel better""",10.0,2014-12-11,4,1.0,time feel well,39,14,12,3,2,1,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'anticipation': 1.0}",anticipation
78542,62995,Tranexamic acid,Menorrhagia,"""I&#039;m 45 years old and scheduled  for total  hysterectomy for Fibroid cysts. While waiting for surgery date and having horrible, unbreabe pain while passing huge blood clots the doctor on call prescribed Tranexamic Acid 2 three times a day. Within 20 mins of the first dose, I had relief from pain!! Now on my third day and bleeding has substantially subsided and most importantly the pain is gone! I experienced no side effects. These were an answer to prayers!""",10.0,2016-11-14,33,1.0,m year old schedule total hysterectomy fibroid cyst wait surgery date have horrible unbreabe pain pass huge blood clot doctor prescribe tranexamic acid time day min dose relief pain day bleeding substantially subside importantly pain go experience effect answer prayer,467,268,95,40,6,1,"{'fear': 0.2413793103448276, 'anger': 0.034482758620689655, 'anticip': 0.0, 'trust': 0.034482758620689655, 'surprise': 0.0, 'positive': 0.06896551724137931, 'negative': 0.27586206896551724, 'sadness': 0.20689655172413793, 'disgust': 0.06896551724137931, 'joy': 0.0, 'anticipation': 0.06896551724137931}",negative
79037,40884,Leuprolide,Uterine Fibroids,"""I was having very heavy periods due to fibroids. My Gyn gave me the shot and it was amazing! No more periods! the trade off I took was night sweats and early onset menopause, but after such heavy bleeding that I have very low blood count, anemia and vitamin D deffieciency, it was well worth it! I&#039;m only in the last few weeks of my first shot, but I can&#039;t wait for the next one!""",9.0,2013-01-09,9,1.0,have heavy period fibroid gyn give shot amazing period trade take night sweat early onset menopause heavy bleeding low blood count anemia vitamin d deffieciency worth m week shot not wait,391,187,96,31,5,1,"{'fear': 0.18181818181818182, 'anger': 0.09090909090909091, 'anticip': 0.0, 'trust': 0.09090909090909091, 'surprise': 0.09090909090909091, 'positive': 0.09090909090909091, 'negative': 0.18181818181818182, 'sadness': 0.13636363636363635, 'disgust': 0.045454545454545456, 'joy': 0.0, 'anticipation': 0.09090909090909091}",fear
79101,91873,Lyrica,Neuropathic Pain,"""Lyrica seems to help with the pain, but it also has an effect of making my hands shake""",8.0,2016-05-31,24,1.0,lyrica help pain effect make hand shake,88,39,21,7,1,1,"{'fear': 0.3333333333333333, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.3333333333333333, 'sadness': 0.3333333333333333, 'disgust': 0.0, 'joy': 0.0}",fear
79108,18683,Cabergoline,Hyperprolactinemia,"""It has reduced my prolactin levels effectively, and it increases testosterone to some extent.  The side effects are loss of motivation, and finding mental exertion more tiring, which can be a real problem at work.  The side effects seem to be dose dependant so I break the pills into quarters or eighths and take them more often to eliminate the peaks after dosing. I&#039;ve also been able to reduce the dose whilst still keeping the prolactin levels in the middle of the normal range, which has also helped with side effects.""",5.0,2016-08-09,10,0.0,reduce prolactin level effectively increase testosterone extent effect loss motivation find mental exertion tiring real problem work effect dose dependant break pill quarter eighth eliminate peak dose ve able reduce dose whilst keep prolactin level middle normal range help effect,529,280,106,40,4,1,"{'fear': 0.11764705882352941, 'anger': 0.058823529411764705, 'anticip': 0.0, 'trust': 0.23529411764705882, 'surprise': 0.058823529411764705, 'positive': 0.29411764705882354, 'negative': 0.11764705882352941, 'sadness': 0.11764705882352941, 'disgust': 0.0, 'joy': 0.0}",positive
79121,139511,Armodafinil,Obstructive Sleep Apnea/Hypopnea Syndrome,"""My first day on Nuvigil. I have not had this much energy in years and I&#039;m only in my late 30s. Only side effects I&#039;ve noticed so far are some very mild nausea. Just enough to suppress my appetite which is actually a good side effect. Had a mild headache this afternoon a couple of hours after taking the pill but cannot say that it was a result of the medication.""",8.0,2010-06-29,22,1.0,day nuvigil energy year m late s effect ve notice far mild nausea suppress appetite actually good effect mild headache afternoon couple hour take pill result medication,375,168,89,27,5,1,"{'fear': 0.058823529411764705, 'anger': 0.058823529411764705, 'anticip': 0.0, 'trust': 0.11764705882352941, 'surprise': 0.058823529411764705, 'positive': 0.11764705882352941, 'negative': 0.23529411764705882, 'sadness': 0.11764705882352941, 'disgust': 0.058823529411764705, 'joy': 0.058823529411764705, 'anticipation': 0.11764705882352941}",negative
79206,63057,Tranexamic acid,Menorrhagia,"""On my 3rd month using Lysteda, works amazingly fast.  I used to go through a box of super tampons in 2 days. Now I don&#039;t even need super.  No noticeable side effects, however I still get some cramping but not as bad as before.""",10.0,2011-09-10,12,1.0,rd month lysteda work amazingly fast box super tampon day not need sup noticeable effect cramping bad,233,101,57,17,4,1,"{'fear': 0.125, 'anger': 0.125, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.125, 'positive': 0.125, 'negative': 0.125, 'sadness': 0.125, 'disgust': 0.125, 'joy': 0.125}",fear
79336,209668,Lupron Depot,Uterine Fibroids,"""It cause me permanent hair loss.""",1.0,2017-04-25,4,-1.0,cause permanent hair loss,34,25,9,4,1,1,"{'fear': 0.25, 'anger': 0.25, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.25, 'sadness': 0.25, 'disgust': 0.0, 'joy': 0.0}",fear
79527,203565,Hydrocortisone / neomycin / polymyxin b,Otitis Externa,"""I had a HORRIBLE allergic reaction to the ear drops! The medication made my look like I had a chemical burn on the right side of my face and blister like on my ear. The itching was immune to Benadryl and I am hoping my face will heal soon.""",1.0,2016-05-17,1,-1.0,horrible allergic reaction ear drop medication look like chemical burn right face blister like ear itching immune benadryl hope face heal soon,241,142,54,22,3,1,"{'fear': 0.07142857142857142, 'anger': 0.07142857142857142, 'anticip': 0.0, 'trust': 0.14285714285714285, 'surprise': 0.07142857142857142, 'positive': 0.14285714285714285, 'negative': 0.14285714285714285, 'sadness': 0.0, 'disgust': 0.14285714285714285, 'joy': 0.14285714285714285, 'anticipation': 0.07142857142857142}",trust
79645,112422,Gabapentin,Neuropathic Pain,"""I went to a specialist in pain management.  300mg seems like way too much of a starting dose. 100mg for 3 days then 200mg 3 days 300mg 3 days etc. Let&#039;s your body get used to it. Go up to 600mg 3 times and then stop. If you don&#039;t have relief by then it&#039;s unlikely you will. My nerve pain from folfox platinum chemo destroyed my nerves in my hands and feet. This gave me about 50% reduction in pain  worth it. Very tolerable site effects. Minimal really. Try but try it right.""",5.0,2016-10-18,14,0.0,go specialist pain management mg like way starting dose mg day mg day mg day etc let body mg time stop not relief unlikely nerve pain folfox platinum chemo destroy nerve hand foot give reduction pain worth tolerable site effect minimal try try right,492,249,122,44,11,1,"{'fear': 0.17647058823529413, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.11764705882352941, 'surprise': 0.0, 'positive': 0.29411764705882354, 'negative': 0.17647058823529413, 'sadness': 0.17647058823529413, 'disgust': 0.0, 'joy': 0.0, 'anticipation': 0.058823529411764705}",positive
79700,24092,Tretinoin,Photoaging of the Skin,"""I have been using the 0.05 tretinoin generic brand for two months.  It has done a great improvement on my skin. The beginning was rough but I  continued till my skin was adjusted and now I  use it every night.  It&#039;s cheaper in Mexico if you have a chance to get there.""",10.0,2016-02-06,44,1.0,tretinoin generic brand month great improvement skin beginning rough continue till skin adjust use night cheap mexico chance,275,124,63,18,4,1,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.25, 'surprise': 0.125, 'positive': 0.25, 'negative': 0.125, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.125, 'anticipation': 0.125}",trust
79928,6652,Propecia,Androgenetic Alopecia,"""Have been taking this drug for almost a year now. My hair was starting to thin a few years back and I just decided to give this a try as we all know nothing else works! Since I&#039;ve been taking it I haven&#039;t noticed any real side effects so I guess I&#039;ve been lucky in that sense, but to be honest neither have I experienced any change in hair loss either. My hair is still thinning, probably even more so now than it used to. This drug has been an absolute waste of time and money. It does not work. Scientists can transplant organs from one body to another, they can clone sheep, they can grow an ear on a mouse&#039;s back, but for some reason they cant figure out how to grow hair where hair used to grow anyway! Don&#039;t waste your money.""",2.0,2017-07-22,8,-1.0,take drug year hair start thin year decide try know work ve take not notice real effect guess ve lucky sense honest experience change hair loss hair thin probably drug absolute waste time money work scientist transplant organ body clone sheep grow ear mouse reason not figure grow hair hair grow not waste money,758,311,184,54,8,1,"{'fear': 0.05357142857142857, 'anger': 0.07142857142857142, 'anticip': 0.0, 'trust': 0.14285714285714285, 'surprise': 0.07142857142857142, 'positive': 0.21428571428571427, 'negative': 0.05357142857142857, 'sadness': 0.03571428571428571, 'disgust': 0.05357142857142857, 'joy': 0.14285714285714285, 'anticipation': 0.16071428571428573}",positive
80016,91832,Lyrica,Neuropathic Pain,"""600 mg of lyrica works wonders for me.  Its a very good drug and completely takes away the pain. Without this drug I would go insane I&#039;ve gone days with so much pain that I thought of committing suicide.  Really awful feeling because I have always enjoyed life and I&#039;m only 38.  Nerve pain is by far the most painful pain I have ever had.  To all of you who suffer out there, there will always be a medicine that can help you. Don&#039;t give up there is a way this horrible condition.  I hope everyone find relief""",10.0,2016-12-11,78,1.0,mg lyrica work wonder good drug completely take away pain drug insane ve go day pain think commit suicide awful feeling enjoy life m nerve pain far painful pain suffer medicine help not way horrible condition hope find relief,526,225,123,39,8,1,"{'fear': 0.16393442622950818, 'anger': 0.09836065573770492, 'anticip': 0.0, 'trust': 0.06557377049180328, 'surprise': 0.04918032786885246, 'positive': 0.11475409836065574, 'negative': 0.18032786885245902, 'sadness': 0.13114754098360656, 'disgust': 0.06557377049180328, 'joy': 0.06557377049180328, 'anticipation': 0.06557377049180328}",negative
80077,213360,Nuvigil,Obstructive Sleep Apnea/Hypopnea Syndrome,"""Today was my first day on 150mg of Nuvigil. I took it at 7:00 am and it is now almost 11:00 PM. I am still speeding like crazy. I cannot sleep. Breathing is twice as heavy.
It&#039;s weird that 15 hours after taking it -- I am still in panic mode. I was very much awake today but, rapid heart beat all day. Threw down a hot dog to try and suppress the speeding. Otherwise my mind went 100 mph. Definitely not sleepy a bit. Would like to eat, but just cannot do it. It feels like I&#039;m on the Movie Speed where the bus has to go so fast.  Hopefully tomorrow I will do better. I want to go to sleep so badly. I took 1mg of Xanax and Luvox; no help at all.  """,6.0,2010-10-12,14,0.0,today day mg nuvigil take pm speed like crazy sleep breathing twice heavy weird hour take panic mode awake today rapid heart beat day throw hot dog try suppress speeding mind go mph definitely sleepy bit like eat feel like m movie speed bus fast hopefully tomorrow well want sleep badly take mg xanax luvox help,661,311,166,56,15,1,"{'fear': 0.16666666666666666, 'anger': 0.16666666666666666, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.05555555555555555, 'positive': 0.05555555555555555, 'negative': 0.2777777777777778, 'sadness': 0.16666666666666666, 'disgust': 0.05555555555555555, 'joy': 0.0, 'anticipation': 0.05555555555555555}",negative
80149,100950,Plecanatide,Chronic Idiopathic Constipation,"""Incredible change within days of use. Highly recommend!""",10.0,2017-12-11,1,1.0,incredible change day use highly recommend,57,42,12,6,2,1,"{'fear': 0.3333333333333333, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.3333333333333333, 'surprise': 0.0, 'positive': 0.3333333333333333, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",fear
80385,139382,Armodafinil,Obstructive Sleep Apnea/Hypopnea Syndrome,"""I am a 22 year old female college student. I take Pristiq antidepressant daily. I was diagnosed with obstructive sleep apnea (runs in my family) and I sleep with a CPAP machine which helps, but I was still tired and felt cloudy and unable to focus during the day. I started taking Nuvigil and it has really helped. I am prescribed to 250mg but I take the half dose. When I first started taking Nuvigil, I had awful headaches and sometimes I felt jittery. Nuvigil kept me up at night for the first few weeks but my body adjusted. I take it around 8am. I feel alert and am able to focus better in school. I only get a headache if I skipped a few days and they are not as bad.""",8.0,2012-04-25,19,1.0,year old female college student pristiq antidepressant daily diagnose obstructive sleep apnea run family sleep cpap machine help tired feel cloudy unable focus day start take nuvigil help prescribe mg half dose start take nuvigil awful headache feel jittery nuvigil keep night week body adjust feel alert able focus well school headache skip day bad,675,349,148,55,10,1,"{'fear': 0.07407407407407407, 'anger': 0.1111111111111111, 'anticip': 0.0, 'trust': 0.07407407407407407, 'surprise': 0.0, 'positive': 0.1111111111111111, 'negative': 0.2962962962962963, 'sadness': 0.14814814814814814, 'disgust': 0.07407407407407407, 'joy': 0.0, 'anticipation': 0.1111111111111111}",negative
80584,45480,Fluoxetine,Binge Eating Disorde,"""I began taking Prozac ~8 weeks ago for mild depression. At the last minute I learned it may also help with Binge Eating Disorder, which I&#039;ve struggled with for 25 years.  Within 3 days of taking 10mg/day, I had zero obsession with food.  I ate, but easily stopped after 2 oreos, no joke, it felt like a total miracle!  However at ~7 weeks, I realized I&#039;d started a binge cycle again, and ate everything in sight for about a week.  

I suspect my dose is too low and my brain adjusted and no longer benefits from my 10 mg.  I&#039;m started taking a 2nd pill every other day for an avg dose of 15mg in hopes of getting back to that sweet spot with my BED.  I read most folks don&#039;t see Prozac work for BED until 60mg, has anyone had luck taking less?""",9.0,2015-05-02,17,1.0,begin take prozac week ago mild depression minute learn help binge eat disorder ve struggle year day take mgday zero obsession food eat easily stop oreos joke feel like total miracle week realize d start binge cycle eat sight week suspect dose low brain adjust long benefit mg m start take nd pill day avg dose mg hope get sweet spot bed read folk not prozac work bed mg luck take,767,380,181,71,7,1,"{'fear': 0.06976744186046512, 'anger': 0.023255813953488372, 'anticip': 0.0, 'trust': 0.11627906976744186, 'surprise': 0.09302325581395349, 'positive': 0.2558139534883721, 'negative': 0.11627906976744186, 'sadness': 0.046511627906976744, 'disgust': 0.0, 'joy': 0.11627906976744186, 'anticipation': 0.16279069767441862}",positive
80641,12631,Cyclosporine,Keratoconjunctivitis Sicca,"""I used Restasis for extreme dry eyes. After 2 years and no relief I gave up. Restasis didn&#039;t do a thing! I now use Retaine available on line or at pharmacy. It&#039;s new...and works great! No prescription needed...and only about $20 for 30 containers. Use just like Restasis.""",1.0,2015-09-29,60,-1.0,restasis extreme dry eye year relief give restasis not thing use retaine available line pharmacy newand work great prescription neededand container use like restasis,283,165,72,24,7,1,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 1.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",positive
80654,213258,Nuvigil,Obstructive Sleep Apnea/Hypopnea Syndrome,"""Have had sleep apnea for awhile and started using CPAP machine alone about 6 months before also adding Nuvigil. Nuvigil helps me get through my work shifts more effectively, especially when transitioning from working 3rd shift to having 3 days off and having to conform with a normal sleep pattern. I liken this medication to taking a 5 hr energy, but it is more effective and lasts longer. I still yawn, but my brain is fully alert and am able to concentrate like I haven&#039;t been able to in years. I&#039;m quite impressed - only side effects have been minor headaches a few days a month and at first a slight nauseated feeling. No jitters or nervousness - love it! Insurance co-pay was $45.00 but the Nuvigil Rx Savings Card brought my co-pay down to $5.""",9.0,2013-11-06,32,1.0,sleep apnea awhile start cpap machine month add nuvigil nuvigil help work shift effectively especially transition work rd shift have day have conform normal sleep pattern liken medication take hr energy effective last long yawn brain fully alert able concentrate like not able year m impressed effect minor headache day month slight nauseate feel jitter nervousness love insurance copay nuvigil rx saving card bring copay,762,421,160,65,7,1,"{'fear': 0.08333333333333333, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.25, 'surprise': 0.0, 'positive': 0.25, 'negative': 0.16666666666666666, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.08333333333333333, 'anticipation': 0.16666666666666666}",trust
80669,54221,Naloxegol,"Constipation, Drug Induced","""Been taking Movantik 25mg for a year due to opioids.  After taking it, within 10 minutes the gas starts. I have an abdominal hernia and get a painful fist size knot that I have to push on to get it moving.  This drug is definitely not a sure thing.  I still have to take flax oil capsules or stool softeners and sometimes even that doesn&#039;t help.  I do not go without having a movement for more than two days and then I start with the suppositories and magnesium citrate.  Before I got Rx for this drug I had constipation so bad I went to ER twice and that was the WORST enema experience.  I thought I was going to die from my pain and the sweating and chills and trying to push.  Eating apples daily helps when I can afford them!""",5.0,2016-10-16,17,0.0,take movantik mg year opioid take minute gas start abdominal hernia painful fist size knot push move drug definitely sure thing flax oil capsule stool softener not help have movement day start suppository magnesium citrate get rx drug constipation bad go er twice bad enema experience think go die pain sweating chill try push eat apple daily help afford,736,354,158,59,9,1,"{'fear': 0.1724137931034483, 'anger': 0.10344827586206896, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.06896551724137931, 'negative': 0.20689655172413793, 'sadness': 0.1724137931034483, 'disgust': 0.1724137931034483, 'joy': 0.0, 'anticipation': 0.10344827586206896}",negative
80886,112182,Gabapentin,Neuropathic Pain,"""I have a rare disorder: MALS (median arcuate ligament syndrome). Eating has been excruciatingly painful, and I have lost 30 pounds within the past five months. I was started on gabapentin, and the pain is now tolerable enough to keep enough down to have gained around ten pounds back. I honestly do not know what I would do without this medication. I also do not have the sleepiness that is warned with as a side effect, which is a big perk.""",10.0,2016-09-06,11,1.0,rare disorder mal median arcuate ligament syndrome eating excruciatingly painful lose pound past month start gabapentin pain tolerable gain pound honestly know medication sleepiness warn effect big perk,443,202,94,28,5,1,"{'fear': 0.16666666666666666, 'anger': 0.13333333333333333, 'anticip': 0.0, 'trust': 0.03333333333333333, 'surprise': 0.06666666666666667, 'positive': 0.06666666666666667, 'negative': 0.23333333333333334, 'sadness': 0.1, 'disgust': 0.06666666666666667, 'joy': 0.03333333333333333, 'anticipation': 0.1}",negative
81038,40647,Cinacalcet,Secondary Hyperparathyroidism,"""Abnormal dreams and bothersome while taking sensipar.  I have difficulty sleeping . Bad dreams stop and return to normal if I skip the dose""",4.0,2015-09-03,3,0.0,abnormal dream bothersome take sensipar difficulty sleep bad dream stop return normal skip dose,141,95,27,14,3,1,"{'fear': 0.16666666666666666, 'anger': 0.16666666666666666, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.3333333333333333, 'sadness': 0.16666666666666666, 'disgust': 0.16666666666666666, 'joy': 0.0}",negative
81125,22761,Lidocaine,Neuropathic Pain,"""Received Mylan lidocaine patch 5% for maralthia parastetic thigh pain. This is my first experience with this brand. Total waste of money. The patches don&#039;t stick! If a patch won&#039;t stick even when sitting absolutely still, they are ineffective. I am returning them to my pharmacist tomorrow &amp; will request a refund. I am requesting my dr write scripts for Endo or Watson. My patch barely hangs on as I get into bed (even while in holding it down) I get in a position and don&#039;t move. The minute I slightly move the patch begins peeling away.  I wake up with a twisty curly sticky thing in the bed. The most infuriating thing to me is to read Mylan website. They made 3.3 billion dollars by June 2015 &amp; these patches came out Aug 2015. RIP OFF!!""",1.0,2016-03-05,14,-1.0,receive mylan lidocaine patch maralthia parastetic thigh pain experience brand total waste money patch not stick patch will not stick sit absolutely ineffective return pharmacist tomorrow amp request refund request dr write script endo watson patch barely hang bed hold position not minute slightly patch begin peel away wake twisty curly sticky thing bed infuriate thing read mylan website billion dollar june amp patch come aug rip,767,433,176,67,13,1,"{'fear': 0.047619047619047616, 'anger': 0.047619047619047616, 'anticip': 0.0, 'trust': 0.047619047619047616, 'surprise': 0.047619047619047616, 'positive': 0.09523809523809523, 'negative': 0.42857142857142855, 'sadness': 0.047619047619047616, 'disgust': 0.09523809523809523, 'joy': 0.047619047619047616, 'anticipation': 0.09523809523809523}",negative
81152,91785,Lyrica,Neuropathic Pain,"""works great for numbness pain in feet""",10.0,2017-09-02,12,1.0,work great numbness pain foot,39,29,9,5,1,1,"{'fear': 0.2, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.4, 'sadness': 0.4, 'disgust': 0.0, 'joy': 0.0}",negative
81199,40880,Leuprolide,Uterine Fibroids,"""Received one shot for three full months. Nearing the end . Major side effects were the hot flashes and some weird feeling of uneasiness. I would not take it again. Hot flashes are not cool.  Just had ultrasound and will be seeing doctor soon to see if shot was a success in killing cysts. The drug may work but wow all these side effects.""",6.0,2013-08-11,39,0.0,receive shot month near end major effect hot flash weird feeling uneasiness hot flash cool ultrasound see doctor soon shot success kill cyst drug work wow effect,340,161,72,27,7,1,"{'fear': 0.125, 'anger': 0.125, 'anticip': 0.0, 'trust': 0.05, 'surprise': 0.075, 'positive': 0.125, 'negative': 0.175, 'sadness': 0.15, 'disgust': 0.05, 'joy': 0.05, 'anticipation': 0.075}",negative
81429,182012,Egrifta,Lipodystrophy,"""The therapeutic effect is not as immediate or apparent as Serostim (which I took for weight loss due to AIDS-related wasting). However, its effect, although more subtle, is nevertheless quite extraordinary! The fat is slowly subsiding, even in the back around the waistline (which is SUPER DIFFICULT to get rid of!). The most obvious effect, although secondary to the therapeutic aim of reducing abdominal fatty tissue, is the absolutely fabulous change in my skin texture, color, and overall health. My skin heals at 500% its normal speed. Even fine line wrinkles are lessening in the cheeks and eyes.""",8.0,2011-06-11,48,1.0,therapeutic effect immediate apparent serostim take weight loss aidsrelated waste effect subtle extraordinary fat slowly subside waistline super difficult rid obvious effect secondary therapeutic aim reduce abdominal fatty tissue absolutely fabulous change skin texture color overall health skin heal normal speed fine line wrinkle lessen cheek eye,604,348,120,47,6,1,"{'fear': 0.10810810810810811, 'anger': 0.02702702702702703, 'anticip': 0.0, 'trust': 0.13513513513513514, 'surprise': 0.02702702702702703, 'positive': 0.16216216216216217, 'negative': 0.16216216216216217, 'sadness': 0.10810810810810811, 'disgust': 0.10810810810810811, 'joy': 0.10810810810810811, 'anticipation': 0.05405405405405406}",positive
81532,214925,Human papillomavirus vaccine,Human Papillomavirus Prophylaxis,"""I had the Gardasil when I was 14 I had zero side effects besides a sore arm. I have no complaints, Its done it job!""",10.0,2016-03-21,5,1.0,gardasil zero effect sore arm complaint job,117,43,30,7,2,1,"{'fear': 0.0, 'anger': 0.3333333333333333, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.16666666666666666, 'negative': 0.3333333333333333, 'sadness': 0.16666666666666666, 'disgust': 0.0, 'joy': 0.0}",anger
81576,91806,Lyrica,Neuropathic Pain,"""I have herpes zoster and my Dr prescribes Lyrica, for the nerve endings. I took the capsules 1 day (2days ago) and after I woke up the next morning, I was completely disorientated, neuasious and vomiting, sleepy, drowsy, forgetful, having uncontrallable shakes in hands and fingers. I thought it will get better soon if I do not take it again. My husband took me to work where I slept the whole time. I had dry nose and mouth, couldnt eat or drink, muscle stiffness drunk feeling, and walking abnormal. I stopped taking it and feeling today better. Could have a shake for breakfast.""",2.0,2016-08-17,23,-1.0,herpe zoster dr prescribe lyrica nerve ending take capsule day day ago wake morning completely disorientate neuasious vomit sleepy drowsy forgetful have uncontrallable shake hand finger think well soon husband take work sleep time dry nose mouth not eat drink muscle stiffness drunk feeling walk abnormal stop take feel today well shake breakfast,584,346,124,53,7,1,"{'fear': 0.047619047619047616, 'anger': 0.047619047619047616, 'anticip': 0.0, 'trust': 0.047619047619047616, 'surprise': 0.09523809523809523, 'positive': 0.23809523809523808, 'negative': 0.14285714285714285, 'sadness': 0.047619047619047616, 'disgust': 0.19047619047619047, 'joy': 0.047619047619047616, 'anticipation': 0.09523809523809523}",positive
81671,213262,Nuvigil,Shift Work Sleep Disorde,"""Shift work at plant. Medicine allows me to think at 2 am when my body is shutting down. This medicine is not magic. You will not have magical capabilities to learn and solve the worlds problems. But you may function somewhat normally as a person again. Do feel some euphoria an hour after taking. """,7.0,2013-07-03,33,1.0,shift work plant medicine allow think body shut medicine magic magical capability learn solve world problem function somewhat normally person feel euphoria hour take,299,165,61,24,6,1,"{'fear': 0.125, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.125, 'positive': 0.25, 'negative': 0.125, 'sadness': 0.125, 'disgust': 0.0, 'joy': 0.125, 'anticipation': 0.125}",positive
